certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
708/2013,,,"usd 6,075,570.28",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"obras de ampliação e modernização do porto de mariel e de sua infraestrutura de acesso, na república de cuba.",banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,14/06/2013,cofig/camex,,,não,não,,aguardando envio do bndes,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2013.0,Construção Civil
758/2014,,,"usd 23,432.58",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,,2014.0,Equipamentos
758/2014,2018-02-06,,usd 126.58,irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2018.0,2014.0,Equipamentos
400/2008,,,"usd 494,056.70",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas colheitadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
401/2008,,,"usd 673,798.59",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas colheitadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
402/2008,,,"usd 185,508.18",cnh latin america ltda.,construimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas colheitadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,construimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
404/2008,,,"usd 1,959,912.49",companhia de obras e infraestrutura.,transproy,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,11/05/2008 - 49ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,companhia de e infraestrutura obras,transproy,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
417/2008,,,"usd 38,467.98",hitachi ar condicionado do brasil ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas resfriadoras de líquidos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,ar brasil condicionado do hitachi,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
419/2008,,,"usd 171,356.18",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
431/2008,,,"usd 42,916.49",basim máquinas s.a.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquina enchedora e fechadora de ampolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,05/12/2008 - 53ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,basim maquinas sa,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
437/2008,,,"usd 63,056.03",campak brasil s.a.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas encartuchadoras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,05/12/2008 - 53ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,brasil campak sa,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2008.0,Equipamentos
477/2009,2018-10-09,,"usd 532,810.06",construtora norberto odebrecht s.a.,c.a. metro de caracas,construtora norberto odebrecht s.a.,venezuela,bens e serviços brasileiros para as obras de construção da linha v do metrô de caracas,banco nacional de desenvolvimento econômico e social - bndes,supplierss credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,3992541,não,thayana,,construtora norberto odebrecht sa,ca caracas de metro,construtora norberto odebrecht sa,2018.0,2009.0,Construção Civil
477/2009,2018-10-09,,"usd 18,408,093.31",construtora norberto odebrecht s.a.,c.a. metro de caracas,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços brasileiros para as obras de construção da linha v do metrô de caracas,banco nacional de desenvolvimento econômico e social - bndes,supplierss credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,1802752,não,thayana,,construtora norberto odebrecht sa,ca caracas de metro,banco bndes de desenvolvimento e economico nacional social,2018.0,2009.0,Construção Civil
478/2009,2018-10-09,,"usd 2,982,024.23",construtora norberto odebrecht s.a.,c.a. metro los teques,construtora norberto odebrecht s.a.,venezuela,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,sim,4031041,não,ana,,construtora norberto odebrecht sa,ca los metro teques,construtora norberto odebrecht sa,2018.0,2009.0,Equipamentos
478/2009,2018-10-09,,"usd 51,335,333.64",construtora norberto odebrecht s.a.,c.a. metro los teques,banco nacional de desenvolvimento econômico e social - bndes,venezuela,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,sim,não,1802762,não,ana,,construtora norberto odebrecht sa,ca los metro teques,banco bndes de desenvolvimento e economico nacional social,2018.0,2009.0,Equipamentos
511/2009,,,"usd 197,137.99",fabrima máquinas automáticas ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,sistema de fabricação e acondicionamento de comprimidos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,10/11/2009 - 64ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,automaticas fabrima maquinas,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
518/2009,,,"usd 4,688,561.97",construtora norberto odebrecht s.a.,"aeroportos de moçambique, e.p.  adm",banco nacional de desenvolvimento econômico e social - bndes,moçambique,bens e prestação serviços destinados à construção do aeroporto internacional de nacala,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,29/01/10 - 66ª ro,cofig/camex,,,,,,,construtora norberto odebrecht sa,adm aeroportos de ep mocambique,banco bndes de desenvolvimento e economico nacional social,,2009.0,Construção Civil
533/2010,,,"usd 85,854.38",himapel máquinas industriais ltda.,quimimpex,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/02/2010 - 67ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,himapel industriais maquinas,quimimpex,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
536/2010,,,"usd 37,681.28",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
565/2010,2018-10-09,,"usd 2,640,805.95",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",construtora andrade gutierrez s.a.,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,não,não,não,não,eduardo,,andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,andrade construtora gutierrez sa,2018.0,2010.0,Construção Civil
565/2010,2018-10-09,,"usd 29,026,377.58",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",banco nacional de desenvolvimento econômico e social - bndes,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,sim,sim,1802770,não,eduardo,verificar com abgf se eles receberam os tc,andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,banco bndes de desenvolvimento e economico nacional social,2018.0,2010.0,Construção Civil
585/2010,,,"usd 104,680.20",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/08/2010 - 73ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
611/2011,,,"usd 47,581.84",volvo do brasil veículos ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,caminhões com implemento compactador de resíduos sólidos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/01/2011 - 78ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,brasil do veiculos volvo,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2011.0,Veículos
