Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
719/2013,15/05/2021,06/08/2021,"USD 255,661.91",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2013 - 106ª RO,Cofig/Camex,,,,,,
791/2016,03/06/2021,10/08/2021,"USD 79,107.61",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,02/05/2012 - 93ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,13/08/2021,"USD 1,617,478.38",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
802/2017,07/05/2021,13/08/2021,"USD 37,054.48",XCMG Brasil Indústria LTDA.,Iron Group S.A.,Banco do Brasil S.A. (PROEX),Argentina,Escavadeiras XCMG modelo XE215BR,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,17/04/2017,SAIN/MF,,,,,,
815/2018,14/05/2021,13/08/2021,"USD 20,784.20",XCMG Brasil Indústria Ltda.,Iron Group S.A.,Banco do Brasil S.A. (PROEX),Argentina,Retroescavadeiras XCMG,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/03/2018,SAIN/MF,,,,,,
815/2018,24/05/2021,13/08/2021,"USD 5,184.90",XCMG Brasil Indústria Ltda.,Iron Group S.A.,Banco do Brasil S.A. (PROEX),Argentina,Retroescavadeiras XCMG,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/03/2018,SAIN/MF,,,,,,
602/2010,27/11/2020,25/08/2021,"USD 7,870,267.09",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,10 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
516/2009,24/05/2021,27/08/2021,"USD 1,785,036.24",Embraer S.A,Montenegro Aviation Leasing Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Montenegro,Até 2 aeronaves modelo EMB 195LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,23/11/2009 - 64ª RO,Cofig/Camex,,,,,,
516/2009,24/05/2021,27/08/2021,"USD 1,785,036.25",Embraer S.A,Montenegro Aviation Leasing Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Montenegro,Até 2 aeronaves modelo EMB 195LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,23/11/2009 - 64ª RO,Cofig/Camex,,,,,,
419/2008,15/06/2021,08/09/2021,"USD 39,910.08",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,,,,
426/2008,15/06/2021,08/09/2021,"USD 36,347.62",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,,,,
521/2010,15/06/2021,08/09/2021,"USD 18,678.16",F.M. Coempar Comercial Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Sistemas hidráulicos Virador Caminhões: cilindros hidráulicos, filtros retorno hidráulicos Hyva, mangueiras hidráulicas - cilindroe e mangueiras mando hidráulico",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,04/03/2010 - 67ª RO,Cofig/Camex,,,,,,
523/2010,15/06/2021,08/09/2021,"USD 67,775.56",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
524/2010,15/06/2021,08/09/2021,"USD 11,703.36",Armco Staco S.A. - Indústria Metalúrgica,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
536/2010,15/06/2021,08/09/2021,"USD 67,465.08",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,,,,
537/2010,15/06/2021,08/09/2021,"USD 85,233.27",F.M. Coempar Comercial Ltda.,Empresa Importadora General Del Transporte E.I.G.T.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equpamentos destinados ao transporte de grãos refrigerados (Projeto Arroz),Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
539/2010,15/06/2021,08/09/2021,"USD 2,668.22",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras e tratores, suas peças de reposição e ferramentas",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,,,,
553/2010,15/06/2021,08/09/2021,"USD 16,237.10",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras modelo CASE A700 e suas peças de reposição,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,27/10/2010 - 75ª RO,Cofig/Camex,,,,,,
581/2010,15/06/2021,08/09/2021,"USD 38,045.62",Armco Staco S.A. - Indústria Metalúrgica,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos para armazenagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,14/07/2010 - 72ª RO,Cofig/Camex,,,,,,
582/2010,15/06/2021,08/09/2021,"USD 83,300.06",Industrial Pagé Ltda.,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas para secagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,27/10/2010 - 75ª RO,Cofig/Camex,,,,,,
662/2012,15/06/2021,08/09/2021,"USD 16,620.86",BRN Internacional Indústria e Comércio Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Sonda oblíqua e kit peças de reposição, ambos destinados ao projeto de açúcar",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,28/03/2012 - 92ª RO,Cofig/Camex,,,,,,
689/2012,15/06/2021,08/09/2021,"USD 112,476.36",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
708/2013,15/06/2021,08/09/2021,"USD 7,729,194.88",Companhia de Obras e Infraestrutura., Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Obras de ampliação e modernização do Porto de Mariel e de sua infraestrutura de acesso, na República de Cuba.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,14/06/2013,Cofig/Camex,,,,,,
747/2014,15/06/2021,08/09/2021,"USD 137,314.19",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
771/2015,15/06/2021,08/09/2021,"USD 138,112.30",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,15/09/2021,"USD 415,932.63",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
566/2010,08/05/2021,01/10/2021,"USD 17,579,536.76",Construtora Andrade Gutierrez S.A.,"Petróleos de Venezuela, S.A (PDVSA)",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,"Bens e serviços destinados à construção do Estaleiro Del Alba (Astialba), na Península de Araya, no Estado Sucre, na República Bolivariana da Venezuela.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
695/2012,08/05/2021,01/10/2021,"USD 13,444,222.85",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,,,,,,
404/2008,15/07/2021,08/10/2021,"USD 1,769,398.10",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,,,,
419/2008,15/07/2021,08/10/2021,"USD 67,458.52",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,,,,
431/2008,15/07/2021,08/10/2021,"USD 39,183.18",Basim Máquinas S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquina enchedora e fechadora de ampolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,,,,
437/2008,15/07/2021,08/10/2021,"USD 56,357.67",Campak Brasil S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas encartuchadoras,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,,,,
511/2009,15/07/2021,08/10/2021,"USD 181,728.21",Fabrima Máquinas Automáticas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Sistema de fabricação e acondicionamento de comprimidos ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,10/11/2009 - 64ª RO,Cofig/Camex,,,,,,
536/2010,15/07/2021,08/10/2021,"USD 34,601.88",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,,,,
538/2010,15/07/2021,08/10/2021,"USD 38,704.09",CNH Latin América Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,16/03/2010 - 68ª RO,Cofig/Camex,,,,,,
585/2010,15/07/2021,08/10/2021,"USD 96,549.45",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,,,,
611/2011,15/07/2021,08/10/2021,"USD 43,704.95",Volvo do Brasil Veículos Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Caminhões com implemento compactador de resíduos sólidos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/01/2011 - 78ª RO,Cofig/Camex,,,,,,
653/2011,15/07/2021,08/10/2021,"USD 5,613,470.03",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,,,,
663/2012,15/07/2021,08/10/2021,"USD 140,306.98",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,13/03/2012 - 92ª RO,Cofig/Camex,,,,,,
700/2012,15/07/2021,08/10/2021,"USD 143,040.75",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,,,,
704/2013,15/07/2021,08/10/2021,"USD 208,553.58",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,,,,
771/2015,15/07/2021,08/10/2021,"USD 574,043.94",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,18/10/2021,"USD 416,947.91",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
791/2016,21/07/2021,18/10/2021,"USD 93,830.74",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,02/05/2012 - 93ª RO,Cofig/Camex,,,,,,
